2858.00 ( 7820.44    5.63   0.119) |  538.772 |  225.652  579.200  556.695  536.482  541.676  543.114  542.837  541.902  540.713  539.423  538.144  536.894  535.979  534.552  533.493  533.036  532.337  529.356  530.282  529.412  514.957  479.240  509.306  391.692  400.697  535.545 26
2857.70 ( 7066.57    5.76   0.264) |  696.190 |  398.804  595.119  776.382  633.045  645.098  669.664  680.201  685.332  687.608  688.502  688.267  687.629  686.107  683.219  678.099  675.144  672.010  663.572  640.582  549.131  507.042 21
2857.40 ( 7252.70    5.70   0.216) |  641.990 |  333.835  600.777  576.180  617.245  616.923  629.382  635.115  637.709  638.626  638.642  638.130  637.577  636.481  635.114  631.457  627.594  622.209  619.899  601.044  587.752  597.312  601.134  449.381  459.482  468.863 25
2857.10 ( 9375.93    5.36   0.052) |  235.405 |  133.065  216.804  227.188  228.797  231.504  233.153  234.007  234.390  234.492  234.493  234.391  234.569  234.551  234.503  233.898  233.959  232.763  233.581  232.791  232.047  232.017  211.942 22
2856.80 ( 9298.19    5.27   0.041) |  236.761 |  114.079  290.510  236.210  238.000  238.738  238.714  238.376  237.944  237.492  237.069  236.733  236.501  236.415  236.426  236.261  236.360  236.213  236.213  236.475  234.726  235.873  229.460  233.867  234.412 24
2856.50 ( 7495.94    5.32   0.167) |  554.070 |  253.097  457.555  545.062  542.489  558.340  558.911  558.312  557.173  555.810  554.313  553.294  551.572  550.477  548.540  547.509  544.167  542.281  539.064  541.585  522.310  539.210  432.209  205.164  439.097  548.175 25
2856.20 ( 5409.64    5.74   0.348) |  938.899 |  503.273  726.421  924.077  942.251  933.950 1001.994  974.323  962.695  954.794  948.563  943.396  937.927  933.200  923.223  910.947  884.912  893.457  886.149  895.912  882.203  903.600  893.224  904.375  907.617 24
2855.90 ( 5625.77    5.57   0.306) |  890.544 |  317.286  928.019  975.440  920.575  911.869  906.213  904.801  899.741  895.766  892.666  890.122  887.867  885.670  882.881  879.422  876.473  872.869  859.290  827.491  695.735  812.565  812.611  792.262  859.332 24
2855.60 ( 4398.74    6.28   0.285) | 1053.590 |  546.149  763.608 1023.811 1172.581 1117.886 1093.984 1080.601 1071.474 1064.468 1059.188 1055.149 1051.908 1048.926 1046.843 1045.794 1046.104 1044.935 1040.156 1032.375 1034.242 1036.674 1030.868  994.868  674.124  691.858  707.778  934.736 27
2855.30 ( 4392.52    6.07   0.330) |  973.583 |  650.938  794.189  932.785 1041.873 1001.914  994.988  989.709  985.227  981.240  977.619  974.273  971.139  967.958  964.026  963.346  959.450  951.048  944.747  937.060  941.900  951.555  952.861  923.779 23
2855.00 ( 2747.19    7.01   0.777) | 1285.306 |  811.900 1035.837 1236.322 1320.508 1365.859 1328.631 1265.218 1276.956 1277.578 1275.566 1273.504 1270.486 1267.647 1262.918 1259.158 1254.114 1242.409 1229.990 1207.949 1145.873 1218.369 1241.679 1181.290 23
2854.70 ( 4795.70    6.13   0.351) |  896.596 |  562.670  890.197  948.424  965.282  920.026  897.632  896.083  912.334  905.607  901.453  898.168  894.890  892.080  889.300  886.321  878.323  865.260  806.075  654.173  838.105 20
2854.40 ( 4739.21    6.77   0.211) |  983.586 |  582.715  821.845 1024.589 1003.245 1026.133 1025.093 1012.962 1004.807  998.782  994.032  990.367  987.125  984.679  982.660  981.112  978.750  976.891  973.566  972.328  970.575  965.793  966.916  973.624  971.228  967.543  949.706  766.904  912.193  969.793  959.506 30
2854.10 ( 5838.51    6.60   0.161) |  825.568 |  512.566  814.939  912.931  877.723  810.715  827.913  830.282  829.951  828.727  827.191  825.747  823.899  822.590  821.730  820.451  818.794  816.930  816.389  814.092  811.025  806.273  801.145  793.268  785.535  811.012  812.278 26
2853.80 ( 6944.90    6.02   0.153) |  613.933 |  245.218  590.336  686.572  665.305  660.306  657.380  603.377  608.667  609.907  610.409  610.508  609.885  609.737  609.033  608.256  607.952  607.424  607.384  604.960  604.710  601.395  580.122  456.999  600.811  599.692 25
